country_id,region_id,population
33,40444,626899
33,40445,2060434
33,40446,3108039
33,40447,598494
33,40448,940770
33,40449,3286394
33,40450,569713
33,901145,494954
33,901146,623529
33,901147,2040761
33,901148,3103299
33,901149,600580
33,901150,197905
33,901151,939568
33,901152,3291115
33,901153,569751
33,901154,139
33,901155,159
34,652,2207344
34,653,1148015
35,654,717736
35,655,29493
35,656,56287
35,657,59984
35,658,112551
35,659,391656
35,660,182346
35,661,187899
35,662,420329
35,663,247680
37,665,937801
37,666,3454732
37,667,883967
37,668,4408725
37,669,15136805
37,670,9591872
37,671,3220128
37,672,3928100
37,673,7319855
37,674,7739246
37,675,3842956
37,676,2919037
37,677,21632034
37,678,9687721
37,679,4136476
37,680,11462822
37,681,9768094
37,682,3436277
37,683,17810958
37,684,3636831
37,685,11288380
37,686,1824051
37,687,633594
37,688,7302132
37,689,46165080
37,690,2410813
37,691,1709840
39,39503,296
39,39504,271
39,39505,23
39,39506,25101
39,39507,3869
40,698,70550
40,699,327451
40,700,13014
40,701,47166
41,702,296849
41,703,405174
41,704,164416
41,705,106558
41,706,220568
41,707,113875
41,708,141621
41,709,119027
41,710,118424
41,711,121372
41,712,244183
41,713,185861
41,714,223449
41,715,651144
41,716,104496
41,717,201897
41,718,161570
41,719,109372
41,720,180213
41,721,103031
41,722,294275
41,723,1275730
41,724,302057
41,725,107761
41,726,483562
41,727,229413
41,728,81882
41,729,155913
42,40276,1934182
42,40277,1134725
42,40278,4212156
42,40279,1729814
42,40280,1741365
42,40281,1704047
42,40282,880946
42,40283,2031446
42,40284,2478724
42,40285,1597595
42,40286,933220
42,40287,1490156
42,40288,944189
42,900712,1929705
42,900713,1125538
42,900714,4218334
42,900715,1695128
42,900716,1741685
42,900717,1709756
42,900718,889771
42,900719,2066212
42,900720,2470556
42,900721,1603165
42,900722,943437
42,900723,1459850
42,900724,944294
43,40542,423842
43,40543,873128
43,40544,795274
43,40545,853250
43,40546,337694
43,40547,587674
43,40548,888590
43,40549,530726
43,40550,863607
43,40551,863390
43,40552,575960
43,40553,358069
43,40554,1049363
43,40555,346472
43,40556,841855
43,40557,534866
43,40558,608023
43,900102,434132
43,900103,419118
44,791,938546
44,792,1965315
44,793,1932288
44,794,555023
44,795,926298
44,796,759909
44,797,781966
44,798,1597513
44,799,150640
44,800,46246
44,801,459274
44,802,272582
44,803,161839
44,804,1247014
44,805,408341
44,806,2336409
44,807,397014
44,808,955471
44,809,445568
44,810,280863
44,811,1340851
44,812,172737
44,813,502236
44,814,929606
44,65289,339
44,65290,12000
44,900411,11334
44,900412,938163
44,900413,1962982
44,900414,955350
44,900415,548897
44,900416,905583
44,900417,756700
44,900418,782308
44,900419,1360444
44,900420,45637
44,900421,127580
44,900422,457131
44,900423,163306
44,900424,1237795
44,900425,403631
44,900426,2585599
44,900427,294376
44,900428,401815
44,900429,958946
44,900430,450115
44,900431,280888
44,900432,1343693
44,900433,171728
44,900434,511249
44,900435,938211
44,900436,983048
45,815,1466567
45,816,5796141
45,817,1089130
45,818,4632798
45,819,4305318
45,820,3193533
45,821,2341166
45,822,2148112
45,823,985850
45,824,2113661
45,900959,1464934
45,900960,5796768
45,900961,1087881
45,900962,4667798
45,900963,4210594
45,900964,3186228
45,900965,2341519
45,900966,2147651
45,900967,985125
45,900968,2091526
46,825,4395918
46,826,4908477
46,827,1329178
46,828,782159
46,829,502192
46,830,41140
46,831,915466
46,832,32294
46,833,14170416
46,834,143921
46,835,8519727
46,836,1167129
46,837,41304
47,838,19252
47,839,3989
47,840,21
47,841,35107
47,842,10
47,843,10
47,844,5811
47,845,17
47,846,21707
47,847,10
47,848,289535
47,849,43534
47,850,11659
47,851,79005
48,68742,64491
48,68743,1296
48,68744,884
49,853,59901
49,854,340137
49,855,79606
49,856,124520
49,857,162617
49,858,339497
49,859,500763
49,860,220483
49,861,161795
49,862,321262
49,863,524221
49,864,379896
49,865,508428
49,866,591599
49,867,139390
49,868,74668
49,67154,809412
50,870,1031000
50,873,793610
50,875,324099
50,876,878055
50,881,425333
50,12904,259172
50,12905,439539
50,12907,275191
50,12908,399259
50,12909,42942
50,12910,547124
50,12911,313706
50,12912,2144892
50,12914,447506
50,12915,847411
50,12918,934375
50,12919,286963
50,12920,635905
50,12921,424092
50,12922,771274
50,12923,582405
50,12924,245162
50,12925,876054
50,12926,456773
50,12927,850928
50,12928,499249
50,12930,335148
50,12931,515656
50,900172,449526
50,900173,697321
50,900174,269621
50,900175,832176
50,900176,315109
50,900177,106521
50,900178,793898
50,900179,787403
50,900180,540386
50,900181,624517
50,900182,879737
50,900183,1201395
50,900184,878234
50,900185,1071800
50,900186,781693
50,900187,797641
50,900188,1397717
50,900189,1171990
50,900190,423771
50,900191,636463
50,900192,864663
50,900193,42539
50,900194,1018701
51,883,709890
51,884,1135789
51,885,327773
51,886,123084
51,887,2286115
51,888,905176
51,889,1029488
51,890,1027643
51,891,160944
51,892,1154586
51,893,8720721
51,895,461688
51,896,2110572
51,91503,179348
51,91504,412259
52,897,40094
53,898,59896404
53,899,28213524
53,900,27151304
53,901,39472604
53,902,26108888
53,903,124314072
53,904,48116268
53,905,34424812
53,906,9733051
53,907,77492816
53,908,40180124
53,909,98009040
53,911,55615412
53,912,68204600
53,913,83039120
53,914,49645784
53,915,28198504
53,916,45657044
53,917,26934768
53,918,7393436
53,919,6601297
53,920,39214344
53,921,101018504
